Date,d
2021-04-27,408.6458740234375
2021-04-28,408.5284118652344
2021-04-29,411.1318664550781
2021-04-30,408.4305419921875
2021-05-03,409.3114013671875
2021-05-04,406.7862548828125
2021-05-05,406.9134826660156
2021-05-06,410.1629333496094
2021-05-07,413.1481018066406
2021-05-10,409.0569763183594
2021-05-11,405.40618896484375
2021-05-12,396.79327392578125
2021-05-13,401.55975341796875
2021-05-14,407.725830078125
2021-05-17,406.6883850097656
2021-05-18,403.1844482421875
2021-05-19,402.1274108886719
2021-05-20,406.4534912109375
2021-05-21,406.1207580566406
2021-05-24,410.2608337402344
2021-05-25,409.35052490234375
2021-05-26,410.1629333496094
2021-05-27,410.37823486328125
2021-05-28,411.1123352050781
2021-06-01,410.75018310546875
2021-06-02,411.3961486816406
2021-06-03,409.8692626953125
2021-06-04,413.617919921875
2021-06-07,413.2166442871094
2021-06-08,413.3046875
2021-06-09,412.6880798339844
2021-06-10,414.6064453125
2021-06-11,415.2915954589844
2021-06-14,416.2213439941406
2021-06-15,415.45794677734375
2021-06-16,413.1382751464844
2021-06-17,413.0013122558594
2021-06-18,407.4297180175781
2021-06-21,413.2624816894531
2021-06-22,415.47186279296875
2021-06-23,414.97113037109375
2021-06-24,417.42596435546875
2021-06-25,418.90869140625
2021-06-28,419.7532043457031
2021-06-29,419.97906494140625
2021-06-30,420.3324890136719
2021-07-01,422.65972900390625
2021-07-02,425.8903503417969
2021-07-06,425.1145935058594
2021-07-07,426.6169738769531
2021-07-08,423.140869140625
2021-07-09,427.6578369140625
2021-07-12,429.189697265625
2021-07-13,427.7265625
2021-07-14,428.3648681640625
2021-07-15,426.9017639160156
2021-07-16,423.55328369140625
2021-07-19,417.2983093261719
2021-07-20,423.2783508300781
2021-07-21,426.705322265625
2021-07-22,427.5989685058594
2021-07-23,431.9980773925781
2021-07-26,433.0585632324219
2021-07-27,431.0848693847656
2021-07-28,430.9080810546875
2021-07-29,432.69525146484375
2021-07-30,430.5939025878906
2021-08-02,429.6904602050781
2021-08-03,433.1862487792969
2021-08-04,431.0553894042969
2021-08-05,433.78521728515625
