Date,CHF=X,EURGBP=X,EURJPY=X,AUDUSD=X,EURUSD=X,CAD=X,JPY=X,NZDUSD=X,SGD=X,HKD=X,GBPUSD=X
1/11/2017,0,0,0,0,0,0,0,0,0,0,0
1/12/2017,0,0,0,0,0,0,0,0,0,0,0
1/13/2017,0,0,0,0,0,0,0,0,0,0,0
1/16/2017,0,0,0,0,0,0,0,0,0,0,0
1/17/2017,0,0,0,0.011869554,0,0,0,0.017749986,0.003788979,0,0
1/18/2017,0,0,0,0,0,0,0,0,0,0,0
1/19/2017,-0.003882299,0,0.008136324,0,0,0,0,0,0,0,0
1/20/2017,0,0,0,0,0,0,0,0,0,0,0
1/23/2017,0,0.007274554,0,0,0,0,0.007623715,0,0,0,0
1/24/2017,0,0,0,0,0,0,0,0,0,0,0
1/25/2017,0,0,0,0,0,0,0,0,0,0,0
1/26/2017,0,0,0,0,0,0,0,0,0,0,0
1/27/2017,-0.00405658,0,0,0,0,0,0,0,0,0,0
1/30/2017,0,0,0,0,0,0,0,0.004365061,0,0,0
1/31/2017,0,0,0,0.00704001,0,0,0,0,0,0,0
2/1/2017,0,0,0,0,0,0,0,0,0,0,0
2/2/2017,0,0,0,0,0,0,0,0,0,0,0
2/3/2017,0,0,0,0,0,0,0,0,0,0,0
2/6/2017,0,0,0,0,0,0,-0.008289869,0,0,0,0
2/7/2017,0,0.012581153,0,0,0,0,0,0,0,0,0
2/8/2017,0,0,0,0,0,0,0,0,0,0,0
2/9/2017,0,0,0,0,0,0.004656715,0,0,0,0,0
2/10/2017,0,0,0,0,0,0,0,0,0,0,0
2/13/2017,0,0,0,0,0,0,0,0,0,0,0
2/14/2017,0,0,0.0072729,0,0,-0.003795965,0,0,0,0,0
2/15/2017,0,0,0,0,0,0,0,0,0,0,0
2/16/2017,0,0,0,0,0,0,0,0,0,0,0
2/17/2017,0,0,0.019316866,0,0,0,0,0,0,0,0
2/20/2017,0,0,0,0,0,0,0,0,0,0,0
2/21/2017,0,0,0,0,0,0,-0.001568546,0,0,0,0
2/22/2017,0,0,0,0,0,0,0,0,0,0,0
2/23/2017,0,0,0,0,0,0,0,0,0,0,0
2/24/2017,0,0,0,0,0,0,0,0,0,0,0
2/27/2017,0,0,0,0,0,0,0,0,0,0,0
2/28/2017,0,0,0,0,0,0,0,0,0,0.000167173,0
3/1/2017,0,0,0,0,0,0,0,0,0,0,0.018435018
3/2/2017,0,0,0,0,0,0,0,0,0,0,0
3/3/2017,0,0,0,0,0,0,0,0,0,0,0
3/6/2017,0.001821237,0,0,0,0,0,-0.004136839,0,0,0,0
3/7/2017,0,0,0,0,0,0,0,0,0,0,0
3/8/2017,0,0,0,0,0,0,0,0,0,0,0
3/9/2017,-0.003094903,0,0,0,0,0,0,0,0,0,0
3/10/2017,0,0,0,0,0,0,0,0,0,0,0
3/13/2017,0,0,0,0,0,0,0,0,0,0,0
3/14/2017,0,0,0,0,0,-0.002975231,0,0,0,0,0
3/15/2017,0,0.00819334,0,0.011984374,0,0,0,0,0,0,0
3/16/2017,0.01368287,0,0,0,0,0,0.030876334,0,0,0,0
3/17/2017,0,0,0,0,0,0,0,0,0,0,0
3/20/2017,0,0,0,0,0,0,0,0,0,0,0
3/21/2017,0,0,0,0,0,0,0,0,0,0,0
3/22/2017,0,0,0,0,0,0,0,0,0,9.61E-05,0
3/23/2017,0,0,0,0,0,0,0,0,0,0,0
3/24/2017,0,0,0,0,0,0,0,0.003099902,-0.002376597,0,0
3/27/2017,0,0,-0.005342727,0,0,0,0.001342495,0,0,0.000219647,-0.002323134
3/28/2017,0,0,0,0,0,0,0,0,0,0,0
3/29/2017,0,0,0,0,0.015886631,0,0,0,0,-0.000160069,0
3/30/2017,0,0,0,0,0,0,0,0,0,0,0
3/31/2017,0,0,0.012039125,0,0,0,0,0,0,0,0
4/3/2017,0,0,0,0,0,0,0,0,0,0,0
